"Year","Total_Catch","Total_CPUE","Total_Income","Total_Fishing_Trips","Total_Landings_Dates"
2012,149585,93.901443816698,229447548.459914,1593,241
2013,184367,82.5277529095792,281383043.928138,2234,290
2015,110947,100.906775807185,214788808.121824,1099.5,144
2016,223297,106.994250119789,401498610.736264,2087,306
2017,110136,97.4654867256637,234028942.117695,1130,258
2018,112498,79.0569219957836,249785240.18609,1423,257
2019,106642,89.0910609857978,271504579.081633,1197,126
2022,76638,197.012853470437,278296987.96368,389,149
2023,130692,85.6996721311475,395835482.122019,1525,248
